Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
266,Damian Kądzior,pl POL,"FW,MF",Eibar,28,1992,6,2,195,2.2,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06
267,Lee Kangin,kr KOR,"FW,MF",Valencia,19,2001,24,15,1262,14,0,0.29,0.29,0,0.29,0.09,0.18,0.27,0.09,0.27
268,Stephane Keller,cm CMR,DF,Alavés,18,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0
269,Kenedy,br BRA,"FW,MF",Granada,24,1996,28,18,1471,16.3,0.24,0.18,0.43,0.24,0.43,0.13,0.16,0.29,0.13,0.29
270,Kike,es ESP,FW,Eibar,30,1989,37,36,3087,34.3,0.35,0.06,0.41,0.35,0.41,0.31,0.06,0.37,0.31,0.37
271,Giorgi Kochorashvili,ge GEO,MF,Levante,21,1999,3,0,23,0.3,0,0,0,0,0,0.03,0.15,0.18,0.03,0.18
272,Kenan Kodro,ba BIH,FW,Valladolid,26,1993,14,4,459,5.1,0,0,0,0,0,0.21,0.03,0.24,0.21,0.24
273,Kenan Kodro,ba BIH,"FW,MF",Athletic Club,26,1993,3,0,44,0.5,2.05,0,2.05,0,0,1.6,0,1.6,0.04,0.04
274,Koba Koindredi,fr FRA,MF,Valencia,18,2001,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0
275,Koke,es ESP,MF,Atlético Madrid,28,1992,37,34,3021,33.6,0.03,0.06,0.09,0.03,0.09,0.06,0.08,0.13,0.06,0.13
276,Geoffrey Kondogbia,cf CTA,MF,Valencia,27,1993,5,5,440,4.9,0,0,0,0,0,0.01,0,0.01,0.01,0.01
277,Geoffrey Kondogbia,cf CTA,"MF,FW",Atlético Madrid,27,1993,25,4,611,6.8,0,0,0,0,0,0.02,0.04,0.07,0.02,0.07
278,Youssouf Koné,ml MLI,"DF,FW",Elche,25,1995,3,1,73,0.8,0,0,0,0,0,0,0,0,0,0
279,Jules Koundé,fr FRA,DF,Sevilla,21,1998,34,33,2975,33.1,0.06,0.03,0.09,0.06,0.09,0.06,0.02,0.08,0.06,0.08
280,Toni Kroos,de GER,MF,Real Madrid,30,1990,28,24,2117,23.5,0.13,0.43,0.55,0.13,0.55,0.09,0.28,0.38,0.09,0.38
